,original prompts,pos tagged prompt
2512,Brandon Routh in The World's End Hollywood Premiere,"[('brandon', 'NN'), ('routh', 'NN'), ('in', 'IN'), ('the', 'DT'), ('world', 'NN'), (""'s"", 'POS'), ('end', 'NN'), ('hollywood', 'NN'), ('premiere', 'NN')]"
2513,"2014, Ford E-350, Mini Bus Limo, Battisti Customs","[('2014', 'CD'), (',', ','), ('ford', 'VBD'), ('e-350', 'NN'), (',', ','), ('mini', 'FW'), ('bus', 'NN'), ('limo', 'NN'), (',', ','), ('battisti', 'NN'), ('customs', 'NNS')]"
2514,Rib knit jumper Spicy mustard Josue,"[('rib', 'NN'), ('knit', 'NN'), ('jumper', 'NN'), ('spicy', 'NN'), ('mustard', 'NN'), ('josue', 'NN')]"
2515,"In a new study from UT Health San Antonio, experts have pinpointed why drinking alcohol interferes with our ability to concentrate","[('in', 'IN'), ('a', 'DT'), ('new', 'JJ'), ('study', 'NN'), ('from', 'IN'), ('ut', 'JJ'), ('health', 'NN'), ('san', 'NN'), ('antonio', 'NN'), (',', ','), ('experts', 'NNS'), ('have', 'VBP'), ('pinpointed', 'VBN'), ('why', 'WRB'), ('drinking', 'VBG'), ('alcohol', 'NN'), ('interferes', 'NNS'), ('with', 'IN'), ('our', 'PRP$'), ('ability', 'NN'), ('to', 'TO'), ('concentrate', 'VB')]"
2516,Gold Studded Belt Round Crystal Buckle,"[('gold', 'NN'), ('studded', 'VBD'), ('belt', 'NN'), ('round', 'NN'), ('crystal', 'NN'), ('buckle', 'NN')]"
2517,mature older couples love porn,"[('mature', 'NN'), ('older', 'JJR'), ('couples', 'NNS'), ('love', 'VBP'), ('porn', 'NN')]"
2518,"""""""Café 30"""""""" Smart Slide-In, Front-Control, Induction and Convection Range with Warming Drawer""""""","[('``', '``'), ('``', '``'), (""''"", ""''""), ('café', 'NN'), ('30', 'CD'), (""''"", ""''""), (""''"", ""''""), (""''"", ""''""), (""''"", ""''""), ('smart', 'JJ'), ('slide-in', 'NN'), (',', ','), ('front-control', 'NN'), (',', ','), ('induction', 'NN'), ('and', 'CC'), ('convection', 'NN'), ('range', 'NN'), ('with', 'IN'), ('warming', 'VBG'), ('drawer', 'NN'), (""''"", ""''""), (""''"", ""''""), (""''"", ""''"")]"
2519,USA Flag Pillow Covers - Spicy Prints,"[('usa', 'JJ'), ('flag', 'NN'), ('pillow', 'NN'), ('covers', 'VBZ'), ('-', ':'), ('spicy', 'NN'), ('prints', 'NNS')]"
2520,"peggy peg board is a modern, scandinavian inspired storage solution","[('peggy', 'NN'), ('peg', 'NN'), ('board', 'NN'), ('is', 'VBZ'), ('a', 'DT'), ('modern', 'JJ'), (',', ','), ('scandinavian', 'JJ'), ('inspired', 'VBN'), ('storage', 'NN'), ('solution', 'NN')]"
2521,Professional Coach Resources,"[('professional', 'JJ'), ('coach', 'NN'), ('resources', 'NNS')]"
2522,Technology resherch 1_,"[('technology', 'NN'), ('resherch', 'VBZ'), ('1_', 'CD')]"
2523,Eberhard Contodat 14900 - fine preserved stainless steel case,"[('eberhard', 'RB'), ('contodat', 'VBZ'), ('14900', 'CD'), ('-', ':'), ('fine', 'NN'), ('preserved', 'VBN'), ('stainless', 'JJ'), ('steel', 'NN'), ('case', 'NN')]"
2524,Mortgage Express EcoSmart Fleece Crew (Adult Unisex),"[('mortgage', 'NN'), ('express', 'JJ'), ('ecosmart', 'RB'), ('fleece', 'NN'), ('crew', 'NN'), ('(', '('), ('adult', 'JJ'), ('unisex', 'NN'), (')', ')')]"
2525,Web Design for Authors,"[('web', 'NN'), ('design', 'NN'), ('for', 'IN'), ('authors', 'NNS')]"
2526,Forrest Gump: The Soundtrack - 32 American Classics On 2 CDs by Various Artists,"[('forrest', 'JJS'), ('gump', 'NN'), (':', ':'), ('the', 'DT'), ('soundtrack', 'NN'), ('-', ':'), ('32', 'CD'), ('american', 'JJ'), ('classics', 'NNS'), ('on', 'IN'), ('2', 'CD'), ('cds', 'NNS'), ('by', 'IN'), ('various', 'JJ'), ('artists', 'NNS')]"
2527,Wendy house and logcabin for sale,"[('wendy', 'JJ'), ('house', 'NN'), ('and', 'CC'), ('logcabin', 'NN'), ('for', 'IN'), ('sale', 'NN')]"
2528,Fancy baby outfit houndstooth print toddler clothes sets ruffle clothing winter girl,"[('fancy', 'JJ'), ('baby', 'NN'), ('outfit', 'NN'), ('houndstooth', 'DT'), ('print', 'NN'), ('toddler', 'NN'), ('clothes', 'NNS'), ('sets', 'VBZ'), ('ruffle', 'VBP'), ('clothing', 'VBG'), ('winter', 'NN'), ('girl', 'NN')]"
2529,SiT-1-10  Signia series directional coupler/tap,"[('sit-1-10', 'JJ'), ('signia', 'NN'), ('series', 'NN'), ('directional', 'NN'), ('coupler/tap', 'NN')]"
2530,1:12 4WD RC Car Updated Version 2.4G Radio Control RC Car Toys Buggy 2020 High speed Trucks Off-Road Trucks Toys for Children,"[('1:12', 'CD'), ('4wd', 'CD'), ('rc', 'NN'), ('car', 'NN'), ('updated', 'VBN'), ('version', 'NN'), ('2.4g', 'CD'), ('radio', 'NN'), ('control', 'NN'), ('rc', 'NN'), ('car', 'NN'), ('toys', 'VBZ'), ('buggy', 'JJ'), ('2020', 'CD'), ('high', 'JJ'), ('speed', 'NN'), ('trucks', 'NNS'), ('off-road', 'VBP'), ('trucks', 'NNS'), ('toys', 'NNS'), ('for', 'IN'), ('children', 'NNS')]"
2531,"This Grilled Peach Caramel Yogurt Bowl is filled with creamy, vanilla Greek yogurt, grilled peaches with cinnamon and brown sugar, a sweet caramel sauce, and crunchy granola. It's ready in minutes and makes the perfect breakfast or snack!","[('this', 'DT'), ('grilled', 'VBD'), ('peach', 'NN'), ('caramel', 'NN'), ('yogurt', 'NN'), ('bowl', 'NN'), ('is', 'VBZ'), ('filled', 'VBN'), ('with', 'IN'), ('creamy', 'NN'), (',', ','), ('vanilla', 'NN'), ('greek', 'JJ'), ('yogurt', 'NN'), (',', ','), ('grilled', 'VBD'), ('peaches', 'NNS'), ('with', 'IN'), ('cinnamon', 'NN'), ('and', 'CC'), ('brown', 'JJ'), ('sugar', 'NN'), (',', ','), ('a', 'DT'), ('sweet', 'JJ'), ('caramel', 'NN'), ('sauce', 'NN'), (',', ','), ('and', 'CC'), ('crunchy', 'JJ'), ('granola', 'NN'), ('.', '.'), ('it', 'PRP'), (""'s"", 'VBZ'), ('ready', 'JJ'), ('in', 'IN'), ('minutes', 'NNS'), ('and', 'CC'), ('makes', 'VBZ'), ('the', 'DT'), ('perfect', 'JJ'), ('breakfast', 'NN'), ('or', 'CC'), ('snack', 'NN'), ('!', '.')]"
2532,blog post - no need for perfection,"[('blog', 'NN'), ('post', 'NN'), ('-', ':'), ('no', 'DT'), ('need', 'NN'), ('for', 'IN'), ('perfection', 'NN')]"
2533,From the Job You Hate to Bestselling Books w/ @KimanziC,"[('from', 'IN'), ('the', 'DT'), ('job', 'NN'), ('you', 'PRP'), ('hate', 'VBP'), ('to', 'TO'), ('bestselling', 'VBG'), ('books', 'NNS'), ('w/', 'JJ'), ('@', 'NNP'), ('kimanzic', 'NN')]"
2534,grungy halloween background vector image,"[('grungy', 'NN'), ('halloween', 'NN'), ('background', 'NN'), ('vector', 'NN'), ('image', 'NN')]"
2535,Your Mom iPhone Case/Skin,"[('your', 'PRP$'), ('mom', 'NN'), ('iphone', 'NN'), ('case/skin', 'NN')]"
2536,Spanish Frequency Dictionary - Essential Vocabulary: 2500 Most Common Spanish Words Cover Image,"[('spanish', 'JJ'), ('frequency', 'NN'), ('dictionary', 'JJ'), ('-', ':'), ('essential', 'JJ'), ('vocabulary', 'NN'), (':', ':'), ('2500', 'CD'), ('most', 'JJS'), ('common', 'JJ'), ('spanish', 'JJ'), ('words', 'NNS'), ('cover', 'VBP'), ('image', 'NN')]"
2537,female firefighter with water hose extinguishing fire on street,"[('female', 'JJ'), ('firefighter', 'NN'), ('with', 'IN'), ('water', 'NN'), ('hose', 'VBP'), ('extinguishing', 'VBG'), ('fire', 'NN'), ('on', 'IN'), ('street', 'NN')]"
2538,Solid Color Round Toe Womens Knee High Boots,"[('solid', 'JJ'), ('color', 'NN'), ('round', 'NN'), ('toe', 'NN'), ('womens', 'VBZ'), ('knee', 'JJ'), ('high', 'JJ'), ('boots', 'NNS')]"
2539,event organizer wordpress plugin,"[('event', 'NN'), ('organizer', 'NN'), ('wordpress', 'NN'), ('plugin', 'NN')]"
2540,"Handsome man grandfather and pretty little girl granddaughter fell asleep during reading books in old ancient library, sitting at the table over the vintage book shelves background","[('handsome', 'JJ'), ('man', 'NN'), ('grandfather', 'NN'), ('and', 'CC'), ('pretty', 'RB'), ('little', 'JJ'), ('girl', 'JJ'), ('granddaughter', 'NN'), ('fell', 'VBD'), ('asleep', 'RB'), ('during', 'IN'), ('reading', 'VBG'), ('books', 'NNS'), ('in', 'IN'), ('old', 'JJ'), ('ancient', 'JJ'), ('library', 'NN'), (',', ','), ('sitting', 'VBG'), ('at', 'IN'), ('the', 'DT'), ('table', 'NN'), ('over', 'IN'), ('the', 'DT'), ('vintage', 'NN'), ('book', 'NN'), ('shelves', 'NNS'), ('background', 'IN')]"
2541,Asia360 Phuket Luxury Villa Estate For Sale 6 Bed Layan Thailand (76)-yde0qn,"[('asia360', 'NN'), ('phuket', 'NN'), ('luxury', 'NN'), ('villa', 'NN'), ('estate', 'NN'), ('for', 'IN'), ('sale', 'NN'), ('6', 'CD'), ('bed', 'NN'), ('layan', 'JJ'), ('thailand', 'NN'), ('(', '('), ('76', 'CD'), (')', ')'), ('-yde0qn', 'NN')]"
2542,Couple embrace in front of the doorway of the vineyard at Two Rivers Winery,"[('couple', 'NN'), ('embrace', 'NN'), ('in', 'IN'), ('front', 'NN'), ('of', 'IN'), ('the', 'DT'), ('doorway', 'NN'), ('of', 'IN'), ('the', 'DT'), ('vineyard', 'NN'), ('at', 'IN'), ('two', 'CD'), ('rivers', 'NNS'), ('winery', 'VBP')]"
2543,Timberland | Bluebell Lane Chelsea Boot Voor Dames In Bordeauxrood Goedkoop,"[('timberland', 'NN'), ('|', 'NNP'), ('bluebell', 'NNP'), ('lane', 'NNP'), ('chelsea', 'NN'), ('boot', 'NN'), ('voor', 'NN'), ('dames', 'NNS'), ('in', 'IN'), ('bordeauxrood', 'NN'), ('goedkoop', 'NN')]"
2544,State of Decay: Year One Survival Edition | RePack от SeregA-Lus,"[('state', 'NN'), ('of', 'IN'), ('decay', 'NN'), (':', ':'), ('year', 'NN'), ('one', 'CD'), ('survival', 'NN'), ('edition', 'NN'), ('|', 'NNP'), ('repack', 'NN'), ('от', 'CD'), ('serega-lus', 'JJ')]"
2545,"Address available on request, Templers, SA 5371","[('address', 'NN'), ('available', 'JJ'), ('on', 'IN'), ('request', 'NN'), (',', ','), ('templers', 'NNS'), (',', ','), ('sa', 'NN'), ('5371', 'CD')]"
2546,Wheels N Bits 12V Car Van Air Horn Twin Dual Tone Very Loud With Relay & Kit For Renault Volvo,"[('wheels', 'NNS'), ('n', 'VBP'), ('bits', 'NNS'), ('12v', 'CD'), ('car', 'NN'), ('van', 'NN'), ('air', 'NN'), ('horn', 'JJ'), ('twin', 'NN'), ('dual', 'JJ'), ('tone', 'NN'), ('very', 'RB'), ('loud', 'JJ'), ('with', 'IN'), ('relay', 'NN'), ('&', 'CC'), ('kit', 'NN'), ('for', 'IN'), ('renault', 'NN'), ('volvo', 'NN')]"
2547,2015 Audi RS Q3 without rear doors render,"[('2015', 'CD'), ('audi', 'NN'), ('rs', 'NN'), ('q3', 'NN'), ('without', 'IN'), ('rear', 'JJ'), ('doors', 'NNS'), ('render', 'VBP')]"
2548,90 Days of Action by DAREBEE,"[('90', 'CD'), ('days', 'NNS'), ('of', 'IN'), ('action', 'NN'), ('by', 'IN'), ('darebee', 'NN')]"
2549,Moncler Logo patch beanie,"[('moncler', 'NN'), ('logo', 'NN'), ('patch', 'NN'), ('beanie', 'NN')]"
2550,PC-HS01-S TURNTABLE HEADSHELL (SILVER) additional picture 2,"[('pc-hs01-s', 'JJ'), ('turntable', 'JJ'), ('headshell', 'NN'), ('(', '('), ('silver', 'NN'), (')', ')'), ('additional', 'JJ'), ('picture', 'NN'), ('2', 'CD')]"
2551,9780345436832: Christ the Lord: Out of Egypt: A Novel,"[('9780345436832', 'CD'), (':', ':'), ('christ', 'NN'), ('the', 'DT'), ('lord', 'NN'), (':', ':'), ('out', 'IN'), ('of', 'IN'), ('egypt', 'NN'), (':', ':'), ('a', 'DT'), ('novel', 'NN')]"
2552,Vintage 1940s Lady s Circular Bed Jacket Cape Knitting Pattern - Length 16 inch,"[('vintage', 'NN'), ('1940s', 'CD'), ('lady', 'NN'), ('s', 'NN'), ('circular', 'JJ'), ('bed', 'NN'), ('jacket', 'NN'), ('cape', 'NN'), ('knitting', 'VBG'), ('pattern', 'JJ'), ('-', ':'), ('length', 'NN'), ('16', 'CD'), ('inch', 'NN')]"
2553,"If you can't figure out your purpose, figure out your passion. For you passion will lead you right into your purpose. - T.D. Jakes","[('if', 'IN'), ('you', 'PRP'), ('ca', 'MD'), (""n't"", 'RB'), ('figure', 'VB'), ('out', 'RP'), ('your', 'PRP$'), ('purpose', 'NN'), (',', ','), ('figure', 'NN'), ('out', 'RP'), ('your', 'PRP$'), ('passion', 'NN'), ('.', '.'), ('for', 'IN'), ('you', 'PRP'), ('passion', 'VBP'), ('will', 'MD'), ('lead', 'VB'), ('you', 'PRP'), ('right', 'RB'), ('into', 'IN'), ('your', 'PRP$'), ('purpose', 'NN'), ('.', '.'), ('-', ':'), ('t.d', 'NN'), ('.', '.'), ('jakes', 'NNS')]"
2554,Splinter Cell,"[('splinter', 'NN'), ('cell', 'NN')]"
2555,Pochacco Clear Case (PC97),"[('pochacco', 'NN'), ('clear', 'JJ'), ('case', 'NN'), ('(', '('), ('pc97', 'NN'), (')', ')')]"
2556,Russian Prime Minister Vladimir Putin meets with US Secretary of State Hillary Clinton in Novo-Ogarevo,"[('russian', 'JJ'), ('prime', 'JJ'), ('minister', 'NN'), ('vladimir', 'NN'), ('putin', 'JJ'), ('meets', 'NNS'), ('with', 'IN'), ('us', 'PRP'), ('secretary', 'NN'), ('of', 'IN'), ('state', 'NN'), ('hillary', 'JJ'), ('clinton', 'NN'), ('in', 'IN'), ('novo-ogarevo', 'JJ')]"
2557,Rider on horse jumping over a hurdle during the equestrian event,"[('rider', 'NN'), ('on', 'IN'), ('horse', 'NN'), ('jumping', 'NN'), ('over', 'IN'), ('a', 'DT'), ('hurdle', 'NN'), ('during', 'IN'), ('the', 'DT'), ('equestrian', 'JJ'), ('event', 'NN')]"
2558,Backgrounds and animated cat available from www.animationfactory.com www.animationfactory.com Jolly Phonics images ©Jolly Phonics,"[('backgrounds', 'NNS'), ('and', 'CC'), ('animated', 'VBD'), ('cat', 'NN'), ('available', 'JJ'), ('from', 'IN'), ('www.animationfactory.com', 'JJ'), ('www.animationfactory.com', 'NN'), ('jolly', 'RB'), ('phonics', 'NNS'), ('images', 'NNS'), ('©jolly', 'RB'), ('phonics', 'NNS')]"
2559,Men's Silk Solid Tie Wedding Grooms Plain Necktie SH,"[('men', 'NNS'), (""'s"", 'POS'), ('silk', 'NN'), ('solid', 'JJ'), ('tie', 'NN'), ('wedding', 'NN'), ('grooms', 'NNS'), ('plain', 'VBP'), ('necktie', 'JJ'), ('sh', 'NN')]"
2560,15 Magical Photos of Moms-to-Be as Disney Princesses,"[('15', 'CD'), ('magical', 'JJ'), ('photos', 'NNS'), ('of', 'IN'), ('moms-to-be', 'JJ'), ('as', 'IN'), ('disney', 'NN'), ('princesses', 'NNS')]"
2561,kong squeezz ball dog toy,"[('kong', 'JJ'), ('squeezz', 'NN'), ('ball', 'NN'), ('dog', 'NN'), ('toy', 'NN')]"
2562,I love chihuahuas Fitted T-Shirt,"[('i', 'NN'), ('love', 'VBP'), ('chihuahuas', 'NN'), ('fitted', 'VBN'), ('t-shirt', 'NN')]"
2563,"TIMELESS TREASURES SUGAR SKULLS, BRIGHT CAT (C7817-MUL) PER CM OR $20/M","[('timeless', 'NN'), ('treasures', 'NNS'), ('sugar', 'NN'), ('skulls', 'NNS'), (',', ','), ('bright', 'JJ'), ('cat', 'NN'), ('(', '('), ('c7817-mul', 'JJ'), (')', ')'), ('per', 'IN'), ('cm', 'NN'), ('or', 'CC'), ('$', '$'), ('20/m', 'CD')]"
2564,Wall paper design home decor 3d wallpapers silver metallic for Decorators best wallpaper,"[('wall', 'JJ'), ('paper', 'NN'), ('design', 'NN'), ('home', 'NN'), ('decor', 'NN'), ('3d', 'CD'), ('wallpapers', 'NNS'), ('silver', 'VBP'), ('metallic', 'NN'), ('for', 'IN'), ('decorators', 'NNS'), ('best', 'JJS'), ('wallpaper', 'NN')]"
2565,"""""""Photo 14: 404 131 W 3RD Street in North Vancouver: Lower Lonsdale Condo for sale in """"""""Seascape Landing"""""""" : MLS®# V1044034""""""","[('``', '``'), ('``', '``'), (""''"", ""''""), ('photo', 'NN'), ('14', 'CD'), (':', ':'), ('404', 'CD'), ('131', 'CD'), ('w', 'NN'), ('3rd', 'CD'), ('street', 'NN'), ('in', 'IN'), ('north', 'JJ'), ('vancouver', 'NN'), (':', ':'), ('lower', 'JJR'), ('lonsdale', 'NN'), ('condo', 'NN'), ('for', 'IN'), ('sale', 'NN'), ('in', 'IN'), ('``', '``'), (""''"", ""''""), (""''"", ""''""), (""''"", ""''""), ('seascape', 'NN'), ('landing', 'NN'), (""''"", ""''""), (""''"", ""''""), (""''"", ""''""), (""''"", ""''""), (':', ':'), ('mls®', 'NN'), ('#', '#'), ('v1044034', 'NN'), (""''"", ""''""), (""''"", ""''""), (""''"", ""''"")]"
2566,"""5"""" Charles Product Resin Tybee Lighthouse Figurine""","[('``', '``'), ('5', 'CD'), (""''"", ""''""), (""''"", ""''""), ('charles', 'NNS'), ('product', 'NN'), ('resin', 'NN'), ('tybee', 'NN'), ('lighthouse', 'NN'), ('figurine', 'NN'), (""''"", ""''"")]"
2567,Personalised Beautiful Girls Baby Shower Invitations Invites REF BS22 Surprise can be added 10,"[('personalised', 'VBN'), ('beautiful', 'JJ'), ('girls', 'NNS'), ('baby', 'VBP'), ('shower', 'JJR'), ('invitations', 'NNS'), ('invites', 'VBZ'), ('ref', 'VBP'), ('bs22', 'JJ'), ('surprise', 'NN'), ('can', 'MD'), ('be', 'VB'), ('added', 'VBN'), ('10', 'CD')]"
2568,IRIS to Distribute ATEIS' Products in India,"[('iris', 'NN'), ('to', 'TO'), ('distribute', 'VB'), ('ateis', 'NN'), (""'"", ""''""), ('products', 'NNS'), ('in', 'IN'), ('india', 'NN')]"
2569,Friday Feature- Pirate and MErmaid Party,"[('friday', 'JJ'), ('feature-', 'JJ'), ('pirate', 'NN'), ('and', 'CC'), ('mermaid', 'NN'), ('party', 'NN')]"
2570,Abe Lincoln,"[('abe', 'NN'), ('lincoln', 'NN')]"
2571,"TELFORD COPYRIGHT MIKE SHERIDAN  Gavin Cowan during the Vanarama Conference North fixture between Guiseley and AFC Telford United at Nethermoor Park on Saturday, February 8, 2020.<br /> <br /> Picture credit: Mike Sheridan/Ultrapress<br /> <br /> MS201920-046","[('telford', 'NN'), ('copyright', 'NN'), ('mike', 'NN'), ('sheridan', 'NN'), ('gavin', 'NN'), ('cowan', 'NN'), ('during', 'IN'), ('the', 'DT'), ('vanarama', 'JJ'), ('conference', 'NN'), ('north', 'JJ'), ('fixture', 'NN'), ('between', 'IN'), ('guiseley', 'NN'), ('and', 'CC'), ('afc', 'NN'), ('telford', 'NN'), ('united', 'VBN'), ('at', 'IN'), ('nethermoor', 'JJ'), ('park', 'NN'), ('on', 'IN'), ('saturday', 'NN'), (',', ','), ('february', 'JJ'), ('8', 'CD'), (',', ','), ('2020.', 'CD'), ('<', 'NN'), ('br', 'NN'), ('/', 'NNP'), ('>', 'NNP'), ('<', 'NNP'), ('br', 'NN'), ('/', 'NNP'), ('>', 'NNP'), ('picture', 'NN'), ('credit', 'NN'), (':', ':'), ('mike', 'NN'), ('sheridan/ultrapress', 'NN'), ('<', 'NNP'), ('br', 'NN'), ('/', 'NNP'), ('>', 'NNP'), ('<', 'NNP'), ('br', 'NN'), ('/', 'NNP'), ('>', 'NNP'), ('ms201920-046', 'NN')]"
2572,Liberty's Kitchen helps disconnected youth,"[('liberty', 'NN'), (""'s"", 'POS'), ('kitchen', 'NN'), ('helps', 'VBZ'), ('disconnected', 'VBN'), ('youth', 'NN')]"
2573,Nikon D610 Review: The Beginning of a Nikon Full-Frame Story,"[('nikon', 'JJ'), ('d610', 'NN'), ('review', 'NN'), (':', ':'), ('the', 'DT'), ('beginning', 'NN'), ('of', 'IN'), ('a', 'DT'), ('nikon', 'JJ'), ('full-frame', 'JJ'), ('story', 'NN')]"
2574,machine a sous mobile Money Train 2 logiciel Relax Gaming,"[('machine', 'NN'), ('a', 'DT'), ('sous', 'JJ'), ('mobile', 'JJ'), ('money', 'NN'), ('train', 'NN'), ('2', 'CD'), ('logiciel', 'NN'), ('relax', 'NN'), ('gaming', 'VBG')]"
2575,spring tree blossom flowers vector image vector image,"[('spring', 'NN'), ('tree', 'NN'), ('blossom', 'NN'), ('flowers', 'NNS'), ('vector', 'VBP'), ('image', 'NN'), ('vector', 'NN'), ('image', 'NN')]"
2576,The RallyMatch girls: coming to a workshop near you,"[('the', 'DT'), ('rallymatch', 'NN'), ('girls', 'NNS'), (':', ':'), ('coming', 'VBG'), ('to', 'TO'), ('a', 'DT'), ('workshop', 'NN'), ('near', 'IN'), ('you', 'PRP')]"
2577,"Image 0 of Hopi New Moon Inlay Earrings, Bennard & Frances Dallasvuyaoma","[('image', 'NN'), ('0', 'CD'), ('of', 'IN'), ('hopi', 'JJ'), ('new', 'JJ'), ('moon', 'NN'), ('inlay', 'NN'), ('earrings', 'NNS'), (',', ','), ('bennard', 'NN'), ('&', 'CC'), ('frances', 'NNS'), ('dallasvuyaoma', 'NN')]"
2578,Vol.12: WE [First Press Limited Edition] (CD+120P PHOTOBOOK),"[('vol.12', 'NN'), (':', ':'), ('we', 'PRP'), ('[', 'VBP'), ('first', 'JJ'), ('press', 'NN'), ('limited', 'JJ'), ('edition', 'NN'), (']', 'NNP'), ('(', '('), ('cd+120p', 'JJ'), ('photobook', 'NN'), (')', ')')]"
2579,Background with moon on the night sky Stock Vector - 10253883,"[('background', 'NN'), ('with', 'IN'), ('moon', 'NN'), ('on', 'IN'), ('the', 'DT'), ('night', 'NN'), ('sky', 'NN'), ('stock', 'NN'), ('vector', 'NN'), ('-', ':'), ('10253883', 'CD')]"
2580,Sweetly Does It Pack of 60 Rose Cupcake Cases,"[('sweetly', 'RB'), ('does', 'VBZ'), ('it', 'PRP'), ('pack', 'VB'), ('of', 'IN'), ('60', 'CD'), ('rose', 'VBD'), ('cupcake', 'NN'), ('cases', 'NNS')]"
2581,Backless Ruffle Off Shoulder Tank (3 colors),"[('backless', 'NN'), ('ruffle', 'VBD'), ('off', 'RP'), ('shoulder', 'NN'), ('tank', 'NN'), ('(', '('), ('3', 'CD'), ('colors', 'NNS'), (')', ')')]"
2582,exo Laptop & iPad Skins featuring Love Me Right - Sehun by putemphasis,"[('exo', 'RB'), ('laptop', 'JJ'), ('&', 'CC'), ('ipad', 'JJ'), ('skins', 'NNS'), ('featuring', 'VBG'), ('love', 'IN'), ('me', 'PRP'), ('right', 'JJ'), ('-', ':'), ('sehun', 'NN'), ('by', 'IN'), ('putemphasis', 'NN')]"
2583,Home Improvement vector image,"[('home', 'NN'), ('improvement', 'NN'), ('vector', 'NN'), ('image', 'NN')]"
2584,101 Graines Erable Japanese Maple Acer Palmatum Dissectum Tree seeds,"[('101', 'CD'), ('graines', 'NNS'), ('erable', 'JJ'), ('japanese', 'JJ'), ('maple', 'JJ'), ('acer', 'NN'), ('palmatum', 'NN'), ('dissectum', 'NN'), ('tree', 'NN'), ('seeds', 'NNS')]"
2585,black and red butterfly at butterfly conservatory during gay house party,"[('black', 'JJ'), ('and', 'CC'), ('red', 'JJ'), ('butterfly', 'NN'), ('at', 'IN'), ('butterfly', 'JJ'), ('conservatory', 'NN'), ('during', 'IN'), ('gay', 'NN'), ('house', 'NN'), ('party', 'NN')]"
2586,What are your opinions of girls who carry a Michael Kors purse?,"[('what', 'WDT'), ('are', 'VBP'), ('your', 'PRP$'), ('opinions', 'NNS'), ('of', 'IN'), ('girls', 'NNS'), ('who', 'WP'), ('carry', 'VBP'), ('a', 'DT'), ('michael', 'JJ'), ('kors', 'NNS'), ('purse', 'VB'), ('?', '.')]"
2587,Multi-Functional 4WD Robot Car Kits Sensor Board Ultrasonic Module For Arduino Robot Car Assembly Kit Free Shipping(China (Mainland)),"[('multi-functional', 'JJ'), ('4wd', 'CD'), ('robot', 'NN'), ('car', 'NN'), ('kits', 'NNS'), ('sensor', 'VBP'), ('board', 'NN'), ('ultrasonic', 'JJ'), ('module', 'NN'), ('for', 'IN'), ('arduino', 'NN'), ('robot', 'NN'), ('car', 'NN'), ('assembly', 'RB'), ('kit', 'VBD'), ('free', 'JJ'), ('shipping', 'NN'), ('(', '('), ('china', 'NN'), ('(', '('), ('mainland', 'NN'), (')', ')'), (')', ')')]"
2588,old wooden background,"[('old', 'JJ'), ('wooden', 'NN'), ('background', 'NN')]"
2589,Brown Rice Salad with Chickpeas and Nuts,"[('brown', 'JJ'), ('rice', 'NN'), ('salad', 'NN'), ('with', 'IN'), ('chickpeas', 'NNS'), ('and', 'CC'), ('nuts', 'NNS')]"
2590,Royal Worcester England Decorative Wall Plate,"[('royal', 'NN'), ('worcester', 'NN'), ('england', 'VBP'), ('decorative', 'JJ'), ('wall', 'NN'), ('plate', 'NN')]"
2591,"Potrait, Classical dance, music, oil painting,CLASSICAL DANCE OF INDIA,ART_1455_11980,Artist : SNEHA SNEHA,Oil","[('potrait', 'NN'), (',', ','), ('classical', 'JJ'), ('dance', 'NN'), (',', ','), ('music', 'NN'), (',', ','), ('oil', 'NN'), ('painting', 'NN'), (',', ','), ('classical', 'JJ'), ('dance', 'NN'), ('of', 'IN'), ('india', 'NN'), (',', ','), ('art_1455_11980', 'NN'), (',', ','), ('artist', 'NN'), (':', ':'), ('sneha', 'NN'), ('sneha', 'NN'), (',', ','), ('oil', 'NN')]"
2592,Lucky pool boy bangs horny big boobed granny,"[('lucky', 'JJ'), ('pool', 'NN'), ('boy', 'NN'), ('bangs', 'NNS'), ('horny', 'VBP'), ('big', 'JJ'), ('boobed', 'NNS'), ('granny', 'NN')]"
2593,Photo of Destiny 2 a fost anunțat,"[('photo', 'NN'), ('of', 'IN'), ('destiny', 'JJ'), ('2', 'CD'), ('a', 'DT'), ('fost', 'NN'), ('anunțat', 'NN')]"
2594,CELL ACTIVE NIGHT CREAM INTENSIVE 50ml. BRUNO VASSARI,"[('cell', 'NN'), ('active', 'JJ'), ('night', 'NN'), ('cream', 'NN'), ('intensive', 'JJ'), ('50ml', 'CD'), ('.', '.'), ('bruno', 'NN'), ('vassari', 'NN')]"
2595,Flow-Volume Curves and Spirograms Two ways to record results of FVC maneuver: – Flow-volume curve---flow meter measures flow rate in L/s upon exhalati,"[('flow-volume', 'JJ'), ('curves', 'NNS'), ('and', 'CC'), ('spirograms', 'NNS'), ('two', 'CD'), ('ways', 'NNS'), ('to', 'TO'), ('record', 'VB'), ('results', 'NNS'), ('of', 'IN'), ('fvc', 'JJ'), ('maneuver', 'NN'), (':', ':'), ('–', 'JJ'), ('flow-volume', 'JJ'), ('curve', 'NN'), ('--', ':'), ('-flow', 'JJ'), ('meter', 'NN'), ('measures', 'NNS'), ('flow', 'VBP'), ('rate', 'NN'), ('in', 'IN'), ('l/s', 'CC'), ('upon', 'IN'), ('exhalati', 'NNS')]"
