,original prompts,pos tagged prompt
1961,Fit City Kids,"[('fit', 'VB'), ('city', 'NN'), ('kids', 'NNS')]"
1962,getlinkyoutube.com-놀이터에서 정전기 과학실험 미끄럼틀 놀이 Static Scientific Experiments Playground Slide Toys Play Ride Игрушки 라임튜브,"[('getlinkyoutube.com', 'ADD'), ('-놀이터에서', ','), ('정전기', '``'), ('과학실험', ','), ('미끄럼틀', 'NFP'), ('놀이', 'NFP'), ('static', 'JJ'), ('scientific', 'JJ'), ('experiments', 'NNS'), ('playground', 'NN'), ('slide', 'NN'), ('toys', 'NNS'), ('play', 'VB'), ('ride', 'NN'), ('игрушки', 'NN'), ('라임튜', '.'), ('브', '.')]"
1963,20MM cat snap Silver Plated with Cyan Rhinestone and Enamel charms KC9360 snaps jewerly,"[('20', 'CD'), ('mm', 'NN'), ('cat', 'NN'), ('snap', 'NN'), ('silver', 'NN'), ('plated', 'VBN'), ('with', 'IN'), ('cyan', 'NN'), ('rhinestone', 'NN'), ('and', 'CC'), ('enamel', 'NN'), ('charms', 'NNS'), ('kc9360', 'NN'), ('snaps', 'NNS'), ('jewerly', 'NN')]"
1964,"Corrugated Paper Carton Folding Machine , Sheet Pasting Machine Of Gum Mounting","[('corrugated', 'JJ'), ('paper', 'NN'), ('carton', 'NN'), ('folding', 'NN'), ('machine', 'NN'), (',', ','), ('sheet', 'NN'), ('pasting', 'NN'), ('machine', 'NN'), ('of', 'IN'), ('gum', 'NN'), ('mounting', 'NN')]"
1965,", 'Rainbow Piece III,' 2012, VICTORI+MO CONTEMPORARY","[(',', ','), (""'"", '``'), ('rainbow', 'JJ'), ('piece', 'NN'), ('iii', 'FW'), (',', ','), (""'"", ""''""), ('2012', 'CD'), (',', ','), ('victori', 'NNP'), ('+mo', 'FW'), ('contemporary', 'NN')]"
1966,"The Anime Trope System: Stone vs. Viper, #7 a LitRPG. Reborn Edition (ATS)","[('the', 'DT'), ('anime', 'NN'), ('trope', 'NN'), ('system', 'NN'), (':', ':'), ('stone', 'NN'), ('vs.', 'IN'), ('viper', 'NN'), (',', ','), ('#', 'NN'), ('7', 'CD'), ('a', 'DT'), ('litrpg', 'NN'), ('.', '.'), ('reborn', 'JJ'), ('edition', 'NN'), ('(', '-LRB-'), ('ats', 'NN'), (')', '-RRB-')]"
1967,outside lights without electricity back yard lights contemporary outdoor string and festive lighting,"[('outside', 'JJ'), ('lights', 'NNS'), ('without', 'IN'), ('electricity', 'NN'), ('back', 'NN'), ('yard', 'NN'), ('lights', 'NNS'), ('contemporary', 'JJ'), ('outdoor', 'JJ'), ('string', 'NN'), ('and', 'CC'), ('festive', 'JJ'), ('lighting', 'NN')]"
1968,"Aurora Recovery Centre gym, fitness, working out","[('aurora', 'NNP'), ('recovery', 'NN'), ('centre', 'NN'), ('gym', 'NN'), (',', ','), ('fitness', 'NN'), (',', ','), ('working', 'VBG'), ('out', 'RP')]"
1969,"How to make the small greenhouse? There are some tempting seven basic steps to make the small greenhouse to beautify your garden. Greenhouse Effect, Build A Greenhouse, Greenhouse Gardening, Hydroponic Gardening, Organic Gardening, Container Gardening, Gardening Tips, Greenhouse Frame, Greenhouse Ideas","[('how', 'WRB'), ('to', 'TO'), ('make', 'VB'), ('the', 'DT'), ('small', 'JJ'), ('greenhouse', 'NN'), ('?', '.'), ('there', 'EX'), ('are', 'VBP'), ('some', 'DT'), ('tempting', 'JJ'), ('seven', 'CD'), ('basic', 'JJ'), ('steps', 'NNS'), ('to', 'TO'), ('make', 'VB'), ('the', 'DT'), ('small', 'JJ'), ('greenhouse', 'NN'), ('to', 'TO'), ('beautify', 'VB'), ('your', 'PRP$'), ('garden', 'NN'), ('.', '.'), ('greenhouse', 'NN'), ('effect', 'NN'), (',', ','), ('build', 'VB'), ('a', 'DT'), ('greenhouse', 'NN'), (',', ','), ('greenhouse', 'NN'), ('gardening', 'NN'), (',', ','), ('hydroponic', 'NN'), ('gardening', 'NN'), (',', ','), ('organic', 'JJ'), ('gardening', 'NN'), (',', ','), ('container', 'NN'), ('gardening', 'NN'), (',', ','), ('gardening', 'NN'), ('tips', 'NNS'), (',', ','), ('greenhouse', 'NN'), ('frame', 'NN'), (',', ','), ('greenhouse', 'NN'), ('ideas', 'NNS')]"
1970,Vero Moda Women's Vmdenice S/l D2-2 Dress,"[('vero', 'FW'), ('moda', 'NNP'), ('women', 'NNS'), (""'s"", 'POS'), ('vmdenice', 'NN'), ('s/l', 'NN'), ('d2', 'NN'), ('-', 'HYPH'), ('2', 'CD'), ('dress', 'NN')]"
1971,Porsche GT3-RS Taster Inc. Atom Hot Lap,"[('porsche', 'NNP'), ('gt3', 'NNP'), ('-rs', ','), ('taster', 'NN'), ('inc.', 'NNP'), ('atom', 'NN'), ('hot', 'JJ'), ('lap', 'NN')]"
1972,Yanna Black Leather Mules by Lulu's,"[('yanna', 'NN'), ('black', 'JJ'), ('leather', 'NN'), ('mules', 'NNS'), ('by', 'IN'), (""lulu's"", 'NNS')]"
1973,"""8"""" Black Round Paper Lantern, Even Ribbing, Chinese Hanging Wedding & Party Decoration""","[('""', '``'), ('8', 'CD'), ('""', ""''""), ('""', '``'), ('black', 'JJ'), ('round', 'JJ'), ('paper', 'NN'), ('lantern', 'NN'), (',', ','), ('even', 'RB'), ('ribbing', 'NN'), (',', ','), ('chinese', 'JJ'), ('hanging', 'NN'), ('wedding', 'NN'), ('&', 'CC'), ('party', 'NN'), ('decoration', 'NN'), ('""', ""''"")]"
1974,Skylights In The Kitchen And Bathroom Attic Bathroom Upstairs Bathrooms Bathroom Design,"[('skylights', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('kitchen', 'NN'), ('and', 'CC'), ('bathroom', 'NN'), ('attic', 'NN'), ('bathroom', 'NN'), ('upstairs', 'NN'), ('bathrooms', 'NNS'), ('bathroom', 'NN'), ('design', 'NN')]"
1975,"Collin Fabric Accent Chair, Direct Ship - so i'm going away from armless. i'm loving that this is a bit funky","[('collin', 'NNP'), ('fabric', 'NN'), ('accent', 'NN'), ('chair', 'NN'), (',', ','), ('direct', 'JJ'), ('ship', 'NN'), ('-', 'HYPH'), ('so', 'RB'), (""i'm"", 'RB'), ('going', 'VBG'), ('away', 'RB'), ('from', 'IN'), ('armless', 'JJ'), ('.', '.'), (""i'm"", 'VB'), ('loving', 'VBG'), ('that', 'IN'), ('this', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('bit', 'NN'), ('funky', 'JJ')]"
1976,Final Fantasy XIII 13 Game (Platinum) PS3,"[('final', 'JJ'), ('fantasy', 'NN'), ('xiii', 'NN'), ('13', 'CD'), ('game', 'NN'), ('(', '-LRB-'), ('platinum', 'NN'), (')', '-RRB-'), ('ps3', 'NN')]"
1977,Crown Moulding Above Kitchen Cabinets 15 Best Copper Range Hoods Images On Pinterest Copper Wall,"[('crown', 'NN'), ('moulding', 'NN'), ('above', 'IN'), ('kitchen', 'NN'), ('cabinets', 'NNS'), ('15', 'CD'), ('best', 'JJS'), ('copper', 'NN'), ('range', 'NN'), ('hoods', 'NNS'), ('images', 'NNS'), ('on', 'IN'), ('pinterest', 'NN'), ('copper', 'NN'), ('wall', 'NN')]"
1978,Mature woman rough fuck,"[('mature', 'JJ'), ('woman', 'NN'), ('rough', 'JJ'), ('fuck', 'NN')]"
1979,Ben Sherman - Chino - washed blue,"[('ben', 'NNP'), ('sherman', 'NNP'), ('-', 'HYPH'), ('chino', 'NNP'), ('-', 'HYPH'), ('washed', 'VBN'), ('blue', 'JJ')]"
1980,Grad Luncheon Napkins - Blue,"[('grad', 'NN'), ('luncheon', 'NN'), ('napkins', 'NNS'), ('-', 'HYPH'), ('blue', 'JJ')]"
1981,Hawley Single Family Home For Sale: 121 Hatton Rd,"[('hawley', 'NNP'), ('single', 'JJ'), ('family', 'NN'), ('home', 'NN'), ('for', 'IN'), ('sale', 'NN'), (':', ':'), ('121', 'CD'), ('hatton', 'NNP'), ('rd', 'NNP')]"
1982,Available Formats To Download - Baby Crib Clipart,"[('available', 'JJ'), ('formats', 'NNS'), ('to', 'TO'), ('download', 'VB'), ('-', 'HYPH'), ('baby', 'NN'), ('crib', 'NN'), ('clipart', 'NN')]"
1983,"Nathan Martins (left), Stephanie Okabe, and Denice Linag will be participating in the second annual zumbathon at General Wolfe School (661 Banning St.). Funds will go to both the school's dance program and Variety the Children's Charity of Manitoba.","[('nathan', 'NNP'), ('martins', 'NNPS'), ('(', '-LRB-'), ('left', 'JJ'), (')', '-RRB-'), (',', ','), ('stephanie', 'NNP'), ('okabe', 'NNP'), (',', ','), ('and', 'CC'), ('denice', 'NN'), ('linag', 'NN'), ('will', 'MD'), ('be', 'VB'), ('participating', 'VBG'), ('in', 'IN'), ('the', 'DT'), ('second', 'JJ'), ('annual', 'JJ'), ('zumbathon', 'NN'), ('at', 'IN'), ('general', 'JJ'), ('wolfe', 'NNP'), ('school', 'NN'), ('(', '-LRB-'), ('661', 'CD'), ('banning', 'VBG'), ('st', 'NNP'), ('.', '.'), (')', '-RRB-'), ('.', '.'), ('funds', 'NNS'), ('will', 'MD'), ('go', 'VB'), ('to', 'IN'), ('both', 'CC'), ('the', 'DT'), ('school', 'NN'), (""'s"", 'POS'), ('dance', 'NN'), ('program', 'NN'), ('and', 'CC'), ('variety', 'NN'), ('the', 'DT'), ('children', 'NNS'), (""'s"", 'POS'), ('charity', 'NN'), ('of', 'IN'), ('manitoba', 'NNP'), ('.', '.')]"
1984,"Beverly Hills, CA - Reese Witherspoon is spring ready in her own clothing line, Draper James. The blonde actress attends to business while leaving her office in a white top, a Draper James mid length skirt, yellow pumps, and a matching yellow Draper James bag.\nAKM-GSI        March 25, 2016\nTo License These Photos, Please Contact :\nSteve Ginsburg\n(310) 505-8447\n(323) 423-9397\nsteve@akmgsi.com\nsales@akmgsi.com\nor\nMaria Buda\n(917) 242-1505\nmbuda@akmgsi.com\nginsburgspalyinc@gmail.com","[('beverly', 'NNP'), ('hills', 'NNS'), (',', ','), ('ca', 'NNP'), ('-', 'HYPH'), ('reese', 'NNP'), ('witherspoon', 'NNP'), ('is', 'VBZ'), ('spring', 'NN'), ('ready', 'JJ'), ('in', 'IN'), ('her', 'PRP$'), ('own', 'JJ'), ('clothing', 'NN'), ('line', 'NN'), (',', ','), ('draper', 'NN'), ('james', 'NNPS'), ('.', '.'), ('the', 'DT'), ('blonde', 'NN'), ('actress', 'NN'), ('attends', 'VBZ'), ('to', 'IN'), ('business', 'NN'), ('while', 'IN'), ('leaving', 'VBG'), ('her', 'PRP$'), ('office', 'NN'), ('in', 'IN'), ('a', 'DT'), ('white', 'JJ'), ('top', 'NN'), (',', ','), ('a', 'DT'), ('draper', 'NN'), ('james', 'NNP'), ('mid', 'AFX'), ('length', 'NN'), ('skirt', 'NN'), (',', ','), ('yellow', 'JJ'), ('pumps', 'NNS'), (',', ','), ('and', 'CC'), ('a', 'DT'), ('matching', 'VBG'), ('yellow', 'JJ'), ('draper', 'NN'), ('james', 'NNP'), ('bag', 'NN'), ('.', '.'), ('\\nakm', 'NNP'), ('-', 'HYPH'), ('gsi', 'NNP'), ('march', 'NNP'), ('25', 'CD'), (',', ','), ('2016', 'CD'), ('\\nto', 'TO'), ('license', 'VB'), ('these', 'DT'), ('photos', 'NNS'), (',', ','), ('please', 'UH'), ('contact', 'VB'), (':', ':'), ('\\nsteve', 'NNP'), ('ginsburg\\n', 'NNP'), ('(', '-LRB-'), ('310', 'CD'), (')', '-RRB-'), ('505-8447\\n(', 'CD'), ('323', 'CD'), (')', '-RRB-'), ('423-9397\\nsteve@akmgsi.com', 'CD'), ('\\nsales@akmgsi.com', 'ADD'), ('\\nor\\nmaria', 'ADD'), ('buda\\n(', 'ADD'), ('917', 'CD'), (')', '-RRB-'), ('242-1505\\nmbuda@akmgsi.com', 'CD'), ('\\nginsburgspalyinc@gmail.com', 'ADD')]"
1985,"Ande Monster Fishing Lines, Yellow, 1 lb/60 lb von ANDE","[('ande', 'FW'), ('monster', 'NN'), ('fishing', 'NN'), ('lines', 'NNS'), (',', ','), ('yellow', 'JJ'), (',', ','), ('1', 'CD'), ('lb/60', 'NN'), ('lb', 'NN'), ('von', 'NN'), ('and', 'CC'), ('e', 'NN')]"
1986,Fairies Children's Duvet Cover sets,"[('fairies', 'NNS'), ('children', 'NNS'), (""'s"", 'POS'), ('duvet', 'NN'), ('cover', 'NN'), ('sets', 'NNS')]"
1987,We're the most captive nation of slaves that ever came along. The ...,"[('we', 'PRP'), (""'re"", 'VBP'), ('the', 'DT'), ('most', 'RBS'), ('captive', 'JJ'), ('nation', 'NN'), ('of', 'IN'), ('slaves', 'NNS'), ('that', 'WDT'), ('ever', 'RB'), ('came', 'VBD'), ('along', 'RB'), ('.', '.'), ('the', 'DT'), ('...', '.')]"
1988,On Stage Pair of Near-Field Studio Monitor Stands with Weighted Hex Base,"[('on', 'IN'), ('stage', 'NN'), ('pair', 'NN'), ('of', 'IN'), ('near', 'JJ'), ('-', 'HYPH'), ('field', 'NN'), ('studio', 'NN'), ('monitor', 'NN'), ('stands', 'VBZ'), ('with', 'IN'), ('weighted', 'VBN'), ('hex', 'NN'), ('base', 'NN')]"
1989,Baxton Studio Annetha Black Faux Leather Upholstered Lounge Chair BAX-BBT5272-Pine-Black-CC,"[('baxton', 'NN'), ('studio', 'NN'), ('annetha', 'NN'), ('black', 'JJ'), ('faux', 'NN'), ('leather', 'NN'), ('upholstered', 'VBN'), ('lounge', 'NN'), ('chair', 'NN'), ('bax', 'NN'), ('-', 'HYPH'), ('bbt5272', 'NN'), ('-', 'HYPH'), ('pine', 'NN'), ('-', 'HYPH'), ('black', 'JJ'), ('-', 'HYPH'), ('cc', 'NN')]"
1990,Be-Our-Guest-Blogger,"[('be', 'VB'), ('-', ','), ('our', 'PRP$'), ('-', 'HYPH'), ('guest', 'NN'), ('-', 'HYPH'), ('blogger', 'NN')]"
1991,You're Not Losing Weight on Keto,"[('you', 'PRP'), (""'re"", 'VBP'), ('not', 'RB'), ('losing', 'VBG'), ('weight', 'NN'), ('on', 'IN'), ('keto', 'NN')]"
1992,GMC Terrain Celebrates Its Best Sales Month Ever in March as GMC Sales Rise 11.4%,"[('gmc', 'NNP'), ('terrain', 'NN'), ('celebrates', 'VBZ'), ('its', 'PRP$'), ('best', 'JJS'), ('sales', 'NNS'), ('month', 'NN'), ('ever', 'RB'), ('in', 'IN'), ('march', 'NN'), ('as', 'IN'), ('gmc', 'NNP'), ('sales', 'NNS'), ('rise', 'VBP'), ('11.4', 'CD'), ('%', 'NN')]"
1993,Pictures of Hawaii Sand Grains,"[('pictures', 'NNS'), ('of', 'IN'), ('hawaii', 'NN'), ('sand', 'NN'), ('grains', 'NNS')]"
1994,Firedancer Sherpa Fleece Pullover - Black,"[('firedancer', 'NN'), ('sherpa', 'NN'), ('fleece', 'NN'), ('pullover', 'NN'), ('-', 'HYPH'), ('black', 'JJ')]"
1995,Color Atlas and Text of Pulmonary Pathology,"[('color', 'NN'), ('atlas', 'NN'), ('and', 'CC'), ('text', 'NN'), ('of', 'IN'), ('pulmonary', 'JJ'), ('pathology', 'NN')]"
1996,antiobama Greeting Cards (Pk of 20),"[('antiobama', 'NN'), ('greeting', 'NN'), ('cards', 'NNS'), ('(', '-LRB-'), ('pk', 'NN'), ('of', 'IN'), ('20', 'CD'), (')', '-RRB-')]"
1997,Carpet SKETCH - F132 white/black - strips,"[('carpet', 'NN'), ('sketch', 'NN'), ('-', 'HYPH'), ('f132', 'CD'), ('white', 'JJ'), ('/', ','), ('black', 'JJ'), ('-', 'HYPH'), ('strips', 'NNS')]"
1998,low maintenance hairstyles for men | the idle man,"[('low', 'JJ'), ('maintenance', 'NN'), ('hairstyles', 'NNS'), ('for', 'IN'), ('men', 'NNS'), ('|', 'NFP'), ('the', 'DT'), ('idle', 'JJ'), ('man', 'NN')]"
1999,human heart and heart beat on ekg with stethoscope vector image,"[('human', 'JJ'), ('heart', 'NN'), ('and', 'CC'), ('heart', 'NN'), ('beat', 'VBP'), ('on', 'IN'), ('ekg', 'NN'), ('with', 'IN'), ('stethoscope', 'NN'), ('vector', 'NN'), ('image', 'NN')]"
2000,Automatic Engine Oil Recycling Plant,"[('automatic', 'JJ'), ('engine', 'NN'), ('oil', 'NN'), ('recycling', 'NN'), ('plant', 'NN')]"
2001,Pure Leather Bag,"[('pure', 'JJ'), ('leather', 'NN'), ('bag', 'NN')]"
2002,zombie musical japanese,"[('zombie', 'NN'), ('musical', 'JJ'), ('japanese', 'NN')]"
2003,Percentage of population with unequal leg length,"[('percentage', 'NN'), ('of', 'IN'), ('population', 'NN'), ('with', 'IN'), ('unequal', 'JJ'), ('leg', 'NN'), ('length', 'NN')]"
2004,Fits 11-17 Inches Portable Ultra-Slim Quiet Laptop Notebook Cooler Cooling Pad Stand with 4 USB Powered Fans Tenswall Laptop Cooling Pad,"[('fits', 'VBZ'), ('11', 'CD'), ('-', 'SYM'), ('17', 'CD'), ('inches', 'NNS'), ('portable', 'JJ'), ('ultra-slim', 'JJ'), ('quiet', 'JJ'), ('laptop', 'NN'), ('notebook', 'NN'), ('cooler', 'NN'), ('cooling', 'NN'), ('pad', 'NN'), ('stand', 'NN'), ('with', 'IN'), ('4', 'CD'), ('usb', 'NN'), ('powered', 'VBN'), ('fans', 'NNS'), ('tenswall', 'NN'), ('laptop', 'NN'), ('cooling', 'NN'), ('pad', 'NN')]"
2005,Ancient Greek & Roman Poets Large 8.5x11 Research Templates,"[('ancient', 'JJ'), ('greek', 'JJ'), ('&', 'CC'), ('roman', 'JJ'), ('poets', 'NNS'), ('large', 'JJ'), ('8.5x11', 'CD'), ('research', 'NN'), ('templates', 'NNS')]"
2006,"Certainly, being a young, educated adult is not the same now as it was even just a mere decade ago, with a rapidly changing world. To create innovators, from this Millennial Generation, not only means supplying the potential innovator with the right skills, tools and atmosphere, but also to supply the","[('certainly', 'RB'), (',', ','), ('being', 'VBG'), ('a', 'DT'), ('young', 'JJ'), (',', ','), ('educated', 'VBN'), ('adult', 'NN'), ('is', 'VBZ'), ('not', 'RB'), ('the', 'DT'), ('same', 'JJ'), ('now', 'RB'), ('as', 'IN'), ('it', 'PRP'), ('was', 'VBD'), ('even', 'RB'), ('just', 'RB'), ('a', 'DT'), ('mere', 'JJ'), ('decade', 'NN'), ('ago', 'RB'), (',', ','), ('with', 'IN'), ('a', 'DT'), ('rapidly', 'RB'), ('changing', 'VBG'), ('world', 'NN'), ('.', '.'), ('to', 'TO'), ('create', 'VB'), ('innovators', 'NNS'), (',', ','), ('from', 'IN'), ('this', 'DT'), ('millennial', 'JJ'), ('generation', 'NN'), (',', ','), ('not', 'RB'), ('only', 'RB'), ('means', 'VBZ'), ('supplying', 'VBG'), ('the', 'DT'), ('potential', 'JJ'), ('innovator', 'NN'), ('with', 'IN'), ('the', 'DT'), ('right', 'JJ'), ('skills', 'NNS'), (',', ','), ('tools', 'NNS'), ('and', 'CC'), ('atmosphere', 'NN'), (',', ','), ('but', 'CC'), ('also', 'RB'), ('to', 'TO'), ('supply', 'VB'), ('the', 'DT')]"
2007,Set of colorful cartoon fast food icons isolated restaurant tasty american cheeseburger meat and unhealthy burger meal vector illustration. Junk drink snack french fried dinner eating.,"[('set', 'VBN'), ('of', 'IN'), ('colorful', 'JJ'), ('cartoon', 'NN'), ('fast', 'JJ'), ('food', 'NN'), ('icons', 'NNS'), ('isolated', 'VBN'), ('restaurant', 'NN'), ('tasty', 'JJ'), ('american', 'JJ'), ('cheeseburger', 'NN'), ('meat', 'NN'), ('and', 'CC'), ('unhealthy', 'JJ'), ('burger', 'NN'), ('meal', 'NN'), ('vector', 'NN'), ('illustration', 'NN'), ('.', '.'), ('junk', 'NN'), ('drink', 'NN'), ('snack', 'NN'), ('french', 'JJ'), ('fried', 'VBN'), ('dinner', 'NN'), ('eating', 'NN'), ('.', '.')]"
2008,may-cat-decal-mimaki-cjv30-100bs,"[('may', 'MD'), ('-', 'HYPH'), ('cat', 'NN'), ('-', 'HYPH'), ('decal', 'NN'), ('-', 'HYPH'), ('mimaki-cjv30-100bs', 'NN')]"
2009,"Porcelain jar mounted as lamp. China, 20th Century","[('porcelain', 'NN'), ('jar', 'NN'), ('mounted', 'VBD'), ('as', 'IN'), ('lamp', 'NN'), ('.', '.'), ('china', 'NNP'), (',', ','), ('20th', 'JJ'), ('century', 'NN')]"
2010,US-China Law Review 15年7月号,"[('us', 'PRP'), ('-', 'HYPH'), ('china', 'NNP'), ('law', 'NN'), ('review', 'NN'), ('15年7', 'CD'), ('月', 'SYM'), ('号', 'NFP')]"
2011,The Big Bang Theory - Seizoen 4,"[('the', 'DT'), ('big', 'JJ'), ('bang', 'NN'), ('theory', 'NN'), ('-', 'HYPH'), ('seizoen', 'NN'), ('4', 'CD')]"
2012,"Photo of home for sale at 5 Auditorium Drive Drive, Atlantic Highlands NJ","[('photo', 'NN'), ('of', 'IN'), ('home', 'NN'), ('for', 'IN'), ('sale', 'NN'), ('at', 'IN'), ('5', 'CD'), ('auditorium', 'NN'), ('drive', 'NN'), ('drive', 'NN'), (',', ','), ('atlantic', 'JJ'), ('highlands', 'NNS'), ('nj', 'NNP')]"
2013,Westbrook trade talks plus Lakers and Clippers news and more around the League 🏀,"[('westbrook', 'NNP'), ('trade', 'NN'), ('talks', 'NNS'), ('plus', 'CC'), ('lakers', 'NNS'), ('and', 'CC'), ('clippers', 'NNS'), ('news', 'NN'), ('and', 'CC'), ('more', 'RBR'), ('around', 'IN'), ('the', 'DT'), ('league', 'NN'), ('🏀', '.')]"
2014,"Chris Licht, vice president of programming and executive producer at CBS News Inc., left, and <a gi-track='captionPersonalityLinkClicked' href=/galleries/search?phrase=Chris+Christie&family=editorial&specificpeople=6480114 ng-click='$event.stopPropagation()'>Chris Christie</a>, governor of New Jersey, attend the Bloomberg Vanity Fair White House Correspondents' Association (WHCA) dinner afterparty in Washington, D.C., U.S., on Saturday, April 28, 2012. The 98th annual dinner raises money for WHCA scholarships and honors the recipients of the organization's journalism awards. Photographer: Joshua Roberts/Bloomberg via Getty Images","[('chris', 'NNP'), ('licht', 'NNP'), (',', ','), ('vice', 'NN'), ('president', 'NN'), ('of', 'IN'), ('programming', 'NN'), ('and', 'CC'), ('executive', 'JJ'), ('producer', 'NN'), ('at', 'IN'), ('cbs', 'NNP'), ('news', 'NN'), ('inc.', 'NNP'), (',', ','), ('left', 'VBN'), (',', ','), ('and', 'CC'), ('<', '-LRB-'), ('a', 'FW'), (""gi-track='"", 'FW'), ('captionpersonalitylinkclicked', 'FW'), (""'"", ','), ('href=/galleries/search?phrase=chris+christie&family=editorial&specificpeople=6480114', 'ADD'), (""ng-click='$event.stoppropagation"", 'ADD'), ('(', '-LRB-'), (')', '-RRB-'), (""'>"", 'NFP'), ('chris', 'NNP'), ('christie', 'NNP'), ('</a', 'FW'), ('>', '-RRB-'), (',', ','), ('governor', 'NN'), ('of', 'IN'), ('new', 'JJ'), ('jersey', 'NN'), (',', ','), ('attend', 'VB'), ('the', 'DT'), ('bloomberg', 'NNP'), ('vanity', 'NN'), ('fair', 'JJ'), ('white', 'JJ'), ('house', 'NN'), ('correspondents', 'NNS'), (""'"", 'POS'), ('association', 'NN'), ('(', '-LRB-'), ('whca', 'NN'), (')', '-RRB-'), ('dinner', 'NN'), ('afterparty', 'NN'), ('in', 'IN'), ('washington', 'NNP'), (',', ','), ('d.c.', 'NNP'), (',', ','), ('u.s.', 'NNP'), (',', ','), ('on', 'IN'), ('saturday', 'NNP'), (',', ','), ('april', 'NNP'), ('28', 'CD'), (',', ','), ('2012', 'CD'), ('.', '.'), ('the', 'DT'), ('98th', 'JJ'), ('annual', 'JJ'), ('dinner', 'NN'), ('raises', 'VBZ'), ('money', 'NN'), ('for', 'IN'), ('whca', 'NN'), ('scholarships', 'NNS'), ('and', 'CC'), ('honors', 'VBZ'), ('the', 'DT'), ('recipients', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('organization', 'NN'), (""'s"", 'POS'), ('journalism', 'NN'), ('awards', 'NNS'), ('.', '.'), ('photographer', 'NN'), (':', ':'), ('joshua', 'NNP'), ('roberts', 'NNP'), ('/', ','), ('bloomberg', 'NNP'), ('via', 'IN'), ('getty', 'NNP'), ('images', 'NNS')]"
2015,livex-lighting-essex-bathroom-lights-1352-91,"[('livex', 'NN'), ('-', 'HYPH'), ('lighting', 'NN'), ('-', 'HYPH'), ('essex', 'NNP'), ('-', 'HYPH'), ('bathroom', 'NN'), ('-', 'HYPH'), ('lights', 'NNS'), ('-', ','), ('1352-91', 'CD')]"
2016,On The Island Coffee Mug,"[('on', 'IN'), ('the', 'DT'), ('island', 'NN'), ('coffee', 'NN'), ('mug', 'NN')]"
2017,"Load image into Gallery viewer, Smart4u Flash Helmets Waterproof Smart Flash Bike Helmet Matte Helmet for Men Women Kids Mountain Road Scooter","[('load', 'VB'), ('image', 'NN'), ('into', 'IN'), ('gallery', 'NN'), ('viewer', 'NN'), (',', ','), ('smart4u', 'NN'), ('flash', 'NN'), ('helmets', 'NNS'), ('waterproof', 'JJ'), ('smart', 'JJ'), ('flash', 'NN'), ('bike', 'NN'), ('helmet', 'NN'), ('matte', 'NN'), ('helmet', 'NN'), ('for', 'IN'), ('men', 'NNS'), ('women', 'NNS'), ('kids', 'NNS'), ('mountain', 'NN'), ('road', 'NN'), ('scooter', 'NN')]"
2018,Photo 2: 33382 GEORGE FERGUSON Way in Abbotsford: Central Abbotsford Multi-Family Commercial for sale : MLS®# C8034050,"[('photo', 'NN'), ('2', 'CD'), (':', ':'), ('33382', 'CD'), ('george', 'NNP'), ('ferguson', 'NNP'), ('way', 'NN'), ('in', 'IN'), ('abbotsford', 'NNP'), (':', ':'), ('central', 'JJ'), ('abbotsford', 'NNP'), ('multi-family', 'NN'), ('commercial', 'NN'), ('for', 'IN'), ('sale', 'NN'), (':', ':'), ('mls®', 'NN'), ('#', 'NN'), ('c8034050', 'CD')]"
2019,THE ANIMALS OBSERVATORY - DEER KIDS LEOPARD - T-shirt à manches longues - yellow,"[('the', 'DT'), ('animals', 'NNS'), ('observatory', 'NN'), ('-', 'HYPH'), ('deer', 'NN'), ('kids', 'NNS'), ('leopard', 'NN'), ('-', 'HYPH'), ('t', 'NN'), ('-', 'HYPH'), ('shirt', 'NN'), ('à', 'FW'), ('manches', 'NNS'), ('longues', 'NNS'), ('-', 'HYPH'), ('yellow', 'JJ')]"
2020,Мужская футболка Stone Island Shadow Project Catch Pocket SS White,"[('мужская', 'FW'), ('футболка', 'NN'), ('stone', 'NN'), ('island', 'NN'), ('shadow', 'NN'), ('project', 'NN'), ('catch', 'NN'), ('pocket', 'NN'), ('ss', 'NN'), ('white', 'JJ')]"
2021,"Load image into Gallery viewer, SASS Sequin Dress","[('load', 'VB'), ('image', 'NN'), ('into', 'IN'), ('gallery', 'NN'), ('viewer', 'NN'), (',', ','), ('sass', 'NN'), ('sequin', 'NN'), ('dress', 'NN')]"
2022,Layered Collar Button Placket Stripe Shirt by Feng Chen Wang,"[('layered', 'VBN'), ('collar', 'NN'), ('button', 'NN'), ('placket', 'NN'), ('stripe', 'NN'), ('shirt', 'NN'), ('by', 'IN'), ('feng', 'NNP'), ('chen', 'NNP'), ('wang', 'NNP')]"
2023,5. The Monroe Doctrine states that A,"[('5.', 'LS'), ('the', 'DT'), ('monroe', 'NNP'), ('doctrine', 'NN'), ('states', 'VBZ'), ('that', 'DT'), ('a', 'NFP')]"
2024,mario kart wallpapers wallpaper cave,"[('mario', 'NNP'), ('kart', 'NN'), ('wallpapers', 'NNS'), ('wallpaper', 'NN'), ('cave', 'NN')]"
